contract_group,underlying_asset,traded_contracts_day,traded_contracts_mtd,traded_contracts_ytd,daily_average_mtd,daily_average_ytd,open_interest,fecha,es_total
FUTURES INDEX IBEX 35 DIVIDEND,,0,0,3375,0,32,3600,2026-06-03,False
OPTIONS STOCK,RED,29,154,8759,51,83,5768,2026-06-03,False
FUTURES STOCK,BBVA,10,45,144161,15,1360,39176,2026-06-03,False
FUTURES STOCK,ANA,0,0,257,0,2,75,2026-06-03,False
FUTURES STOCK,BKT,0,0,812,0,8,116,2026-06-03,False
FUTURES STOCK,CIE,0,0,1,0,0,1,2026-06-03,False
FUTURES STOCK,FDR,0,0,2,0,0,0,2026-06-03,False
FUTURES STOCK,FER,0,0,1963,0,19,375,2026-06-03,False
FUTURES STOCK,GRF,0,4,330,1,3,215,2026-06-03,False
FUTURES STOCK,IDR,0,7,3126,2,29,341,2026-06-03,False
FUTURES STOCK,IBE,0,0,25976,0,245,7381,2026-06-03,False
FUTURES MINI IBEX 35,,2444,7086,384022,2362,3623,3834,2026-06-03,False
FUTURES STOCK,MAP,0,0,579,0,5,434,2026-06-03,False
FUTURES STOCK,ACX,0,0,440,0,4,34,2026-06-03,False
OPTIONS STOCK,ANA,0,3,1498,1,14,984,2026-06-03,False
FUTURES STOCK,CLNX,0,0,241,0,2,58,2026-06-03,False
FUTURES STOCK,COL,0,0,220,0,2,100,2026-06-03,False
FUTURES STOCK,ELE,0,0,415,0,4,56,2026-06-03,False
FUTURES STOCK,ENG,0,0,7711,0,73,7550,2026-06-03,False
FUTURES STOCK,RED,0,0,194,0,2,64,2026-06-03,False
FUTURES STOCK,IAG,0,0,600,0,6,40,2026-06-03,False
OPTIONS STOCK,ITX,3723,4575,32202,1525,304,38746,2026-06-03,False
FUTURES XROLLING FX,USDMXN,0,0,2,0,0,0,2026-06-03,False
OPTIONS STOCK,ROVI,2,4,7167,1,68,5693,2026-06-03,False
OPTIONS STOCK,TRE,5,5,1389,2,13,1082,2026-06-03,False
OPTIONS STOCK,UNI,4,4,355,1,3,316,2026-06-03,False
OPTIONS STOCK,VID,1,2,174,1,2,67,2026-06-03,False
OPTIONS STOCK,VIS,5,138,704,46,7,419,2026-06-03,False
FUTURES XROLLING FX TOTAL,,7,11,2251,3,19,2161,2026-06-03,True
FUTURES XROLLING FX,AUDJPY,0,0,6,0,0,0,2026-06-03,False
FUTURES XROLLING FX,AUDUSD,0,0,17,0,0,1,2026-06-03,False
FUTURES XROLLING FX,EURAUD,0,0,35,0,0,0,2026-06-03,False
OPTIONS STOCK,SAN,10483,31903,1273664,10634,12016,1094378,2026-06-03,False
FUTURES XROLLING STOCK TOTAL,,0,0,6000,0,57,0,2026-06-03,True
OPTIONS STOCK,EBRO,1,1,47,0,0,29,2026-06-03,False
OPTIONS STOCK,SCYR,0,0,20959,0,198,20680,2026-06-03,False
FUTURES XROLLING FX,EURCHF,1,1,150,0,1,0,2026-06-03,False
FUTURES XROLLING FX,USDCHF,0,0,235,0,2,4,2026-06-03,False
FUTURES XROLLING FX,EURGBP,0,0,16,0,0,0,2026-06-03,False
OPTIONS STOCK,OHLA,0,0,2788,0,26,2121,2026-06-03,False
FUTURES XROLLING FX,USDJPY,0,0,34,0,0,0,2026-06-03,False
FUTURES INDEX TOTAL,,8702,25113,1909840,8371,18018,58850,2026-06-03,True
FUTURES XROLLING FX,EURJPY,1,1,254,0,2,12,2026-06-03,False
OPTIONS STOCK,SLR,0,0,10020,0,95,327,2026-06-03,False
OPTIONS STOCK,SAB,55,375,15170,125,143,17106,2026-06-03,False
OPTIONS STOCK,REP,3098,3646,364604,1215,3440,757065,2026-06-03,False
OPTIONS STOCK,MEL,5,5,1818,2,17,3291,2026-06-03,False
FUTURES XROLLING FX,EURUSD,5,9,1327,3,13,2144,2026-06-03,False
OPTIONS STOCK,NTGY,1503,1518,92371,506,871,20309,2026-06-03,False
OPTIONS STOCK,BKT,1,7,7363,2,69,6968,2026-06-03,False
OPTIONS STOCK,IDR,14,110,38352,37,362,5622,2026-06-03,False
FUTURES XROLLING FX,GBPUSD,0,0,112,0,1,0,2026-06-03,False
OPTIONS STOCK,FER,4217,6628,55732,2209,526,38514,2026-06-03,False
OPTIONS STOCK,GRF,109,204,30293,68,286,21595,2026-06-03,False
OPTIONS STOCK,IAG,0,4585,23546,1528,222,30649,2026-06-03,False
OPTIONS STOCK,IBE,10061,33376,1740866,11125,16423,1467567,2026-06-03,False
OPTIONS STOCK,CLNX,8,134,32553,45,307,30131,2026-06-03,False
FUTURES XROLLING FX,GBPCHF,0,0,9,0,0,0,2026-06-03,False
FUTURES XROLLING FX,NZDUSD,0,0,36,0,0,0,2026-06-03,False
FUTURES XROLLING FX,USDCAD,0,0,18,0,0,0,2026-06-03,False
OPTIONS STOCK,COL,3,7,8838,2,83,4752,2026-06-03,False
OPTIONS STOCK,ENC,0,0,37,0,0,27,2026-06-03,False
OPTIONS STOCK,ENG,7,177,33111,59,312,35124,2026-06-03,False
OPTIONS STOCK,FCC,0,0,280,0,3,2110,2026-06-03,False
OPTIONS STOCK,FDR,0,2,994,1,9,943,2026-06-03,False
FUTURES XROLLING STOCK,AMS,0,0,2000,0,19,0,2026-06-03,False
OPTIONS STOCK,ANE,0,0,56,0,1,40,2026-06-03,False
OPTIONS STOCK,PHM,2,15,574,5,5,288,2026-06-03,False
OPTIONS STOCK,PUIG,1,11,29694,4,280,32046,2026-06-03,False
OPTIONS STOCK,ELE,10,36,7609,12,72,8174,2026-06-03,False
OPTIONS STOCK,MTS,135,763,4388,254,41,1377,2026-06-03,False
OPTIONS STOCK,CABK,19,5078,258663,1693,2440,308879,2026-06-03,False
OPTIONS STOCK,CIE,0,0,166,0,2,160,2026-06-03,False
OPTIONS STOCK,MAP,12,17,3163,6,30,1745,2026-06-03,False
OPTIONS STOCK,TEF,610,757,1119931,252,10565,1581889,2026-06-03,False
FUTURES XROLLING STOCK,ITX,0,0,4000,0,38,0,2026-06-03,False
OPTIONS STOCK,MRL,0,100,70308,33,663,55027,2026-06-03,False
OPTIONS STOCK,VID,0,2,174,1,2,67,2026-06-04,False
FUTURES XROLLING STOCK TOTAL,,0,0,6000,0,56,0,2026-06-04,True
FUTURES XROLLING FX,EURGBP,0,0,16,0,0,0,2026-06-04,False
FUTURES XROLLING FX,EURCHF,0,1,150,0,1,0,2026-06-04,False
OPTIONS STOCK,SAB,32,407,15202,102,142,17108,2026-06-04,False
FUTURES XROLLING FX,GBPCHF,0,0,9,0,0,0,2026-06-04,False
OPTIONS STOCK,SAN,31,31934,1273695,7984,11904,1094379,2026-06-04,False
FUTURES XROLLING FX,USDCHF,0,0,235,0,2,4,2026-06-04,False
FUTURES XROLLING FX,NZDUSD,0,0,36,0,0,0,2026-06-04,False
OPTIONS STOCK,SLR,0,0,10020,0,94,327,2026-06-04,False
OPTIONS STOCK,ROVI,2,6,7169,2,67,5693,2026-06-04,False
FUTURES XROLLING FX,AUDJPY,0,0,6,0,0,0,2026-06-04,False
OPTIONS STOCK,BKT,0,7,7363,2,69,6968,2026-06-04,False
FUTURES XROLLING FX TOTAL,,0,11,2251,2,18,2161,2026-06-04,True
OPTIONS STOCK,UNI,0,4,355,1,3,316,2026-06-04,False
OPTIONS STOCK,PUIG,975,986,30669,247,287,32481,2026-06-04,False
FUTURES XROLLING FX,GBPUSD,0,0,112,0,1,0,2026-06-04,False
FUTURES XROLLING FX,USDMXN,0,0,2,0,0,0,2026-06-04,False
OPTIONS STOCK,COL,1,8,8839,2,83,4753,2026-06-04,False
FUTURES XROLLING FX,EURJPY,0,1,254,0,2,12,2026-06-04,False
OPTIONS STOCK,TEF,238,995,1120169,249,10469,1582113,2026-06-04,False
OPTIONS STOCK,CIE,0,0,166,0,2,160,2026-06-04,False
OPTIONS STOCK,CLNX,10,144,32563,36,304,30141,2026-06-04,False
OPTIONS STOCK,IAG,41,4626,23587,1157,220,30682,2026-06-04,False
FUTURES XROLLING FX,AUDUSD,0,0,17,0,0,1,2026-06-04,False
FUTURES XROLLING FX,USDJPY,0,0,34,0,0,0,2026-06-04,False
FUTURES XROLLING FX,USDCAD,0,0,18,0,0,0,2026-06-04,False
FUTURES XROLLING FX,EURUSD,0,9,1327,2,12,2144,2026-06-04,False
OPTIONS STOCK,ENC,0,0,37,0,0,27,2026-06-04,False
OPTIONS STOCK,FER,0,6628,55732,1657,521,38514,2026-06-04,False
OPTIONS STOCK,MTS,2,765,4390,191,41,1377,2026-06-04,False
OPTIONS STOCK,MAP,2,19,3165,5,30,1745,2026-06-04,False
OPTIONS STOCK,ITX,534,5109,32736,1277,306,38749,2026-06-04,False
OPTIONS STOCK,VIS,2,140,706,35,7,419,2026-06-04,False
OPTIONS STOCK,CABK,6,5084,258669,1271,2417,308885,2026-06-04,False
OPTIONS STOCK,NTGY,2,1520,92373,380,863,20311,2026-06-04,False
FUTURES XROLLING STOCK,ITX,0,0,4000,0,37,0,2026-06-04,False
OPTIONS STOCK,MEL,0,5,1818,1,17,3291,2026-06-04,False
OPTIONS STOCK,OHLA,0,0,2788,0,26,2121,2026-06-04,False
OPTIONS STOCK,SCYR,40,40,20999,10,196,20680,2026-06-04,False
OPTIONS STOCK,MRL,3,103,70311,26,657,55028,2026-06-04,False
FUTURES INDEX TOTAL,,6984,32097,1916824,8025,17915,58045,2026-06-04,True
OPTIONS STOCK,ANE,0,0,56,0,1,40,2026-06-04,False
FUTURES XROLLING STOCK,AMS,0,0,2000,0,19,0,2026-06-04,False
OPTIONS STOCK,IDR,7,117,38359,29,358,5626,2026-06-04,False
OPTIONS STOCK,PHM,5,20,579,5,5,293,2026-06-04,False
OPTIONS STOCK,GRF,83,287,30376,72,284,21550,2026-06-04,False
FUTURES XROLLING FX,EURAUD,0,0,35,0,0,0,2026-06-04,False
OPTIONS STOCK,FDR,0,2,994,1,9,943,2026-06-04,False
OPTIONS STOCK,IBE,1037,34413,1741903,8603,16279,1468568,2026-06-04,False
OPTIONS STOCK,EBRO,0,1,47,0,0,29,2026-06-04,False
OPTIONS STOCK,REP,3138,6784,367742,1696,3437,757059,2026-06-04,False
OPTIONS STOCK,ENG,4,181,33115,45,309,35124,2026-06-04,False
OPTIONS STOCK,TRE,10,15,1399,4,13,1092,2026-06-04,False
OPTIONS STOCK,FCC,0,0,280,0,3,2110,2026-06-04,False
OPTIONS STOCK,ELE,15,51,7624,13,71,8180,2026-06-04,False
OPTIONS STOCK,ANA,0,3,1498,1,14,984,2026-06-04,False
FUTURES STOCK,SAB,0,0,920,0,9,508,2026-06-04,False
FUTURES STOCK,CABK,0,0,1492,0,14,323,2026-06-04,False
FUTURES STOCK,COL,0,0,220,0,2,100,2026-06-04,False
OPTIONS STOCK,ACS,7,19,6216,5,58,6765,2026-06-04,False
FUTURES STOCK,ROVI,0,0,129,0,1,2,2026-06-04,False
OPTIONS STOCK,AENA,14,346,5712,87,53,3212,2026-06-04,False
FUTURES IBEX 35,,4828,22855,1527271,5714,14274,50746,2026-06-04,False
FUTURES STOCK,ITX,6,6,10276,2,96,8659,2026-06-04,False
FUTURES STOCK DIVIDEND,BBVD,0,0,700,0,7,750,2026-06-04,False
FUTURES STOCK,MTS,0,0,1459,0,14,204,2026-06-04,False
OPTIONS STOCK,ALM,0,1,22,0,0,29,2026-06-04,False
FUTURES STOCK DIVIDEND,GASD,0,0,500,0,5,500,2026-06-04,False
FUTURES STOCK DIVIDEND,REPD,0,0,1550,0,14,1901,2026-06-04,False
OPTIONS STOCK TOTAL,,6897,116483,6055717,29126,56594,6285159,2026-06-04,True
FUTURES STOCK DIVIDEND TOTAL,,0,0,69222,0,647,28726,2026-06-04,True
OPTIONS STOCK,BBVA,541,12269,695414,3067,6499,644091,2026-06-04,False
FUTURES STOCK,SCYR,0,0,34,0,0,0,2026-06-04,False
FUTURES STOCK,RED,0,0,194,0,2,64,2026-06-04,False
FUTURES STOCK,PUIG,0,0,312,0,3,230,2026-06-04,False
FUTURES STOCK DIVIDEND,IBED,0,0,0,0,0,100,2026-06-04,False
FUTURES STOCK,REP,0,15,24311,4,227,15396,2026-06-04,False
FUTURES STOCK,NTGY,0,0,5140,0,48,5014,2026-06-04,False
FUTURES STOCK,TEF,0,0,21385,0,200,20210,2026-06-04,False
OPTIONS STOCK,ACX,1,90,7248,23,68,5399,2026-06-04,False
FUTURES STOCK DIVIDEND,SAND,0,0,66472,0,621,25425,2026-06-04,False
OPTIONS STOCK,A3M,0,0,416,0,4,437,2026-06-04,False
FUTURES STOCK,ACS,0,5,6058,1,57,1183,2026-06-04,False
FUTURES STOCK,SAN,0,1,3501864,0,32728,1536948,2026-06-04,False
FUTURES STOCK,ANA,0,0,257,0,2,75,2026-06-04,False
FUTURES MINI IBEX 35,,2156,9242,386178,2311,3609,3699,2026-06-04,False
FUTURES STOCK,ENG,0,0,7711,0,72,7550,2026-06-04,False
FUTURES STOCK,ELE,0,0,415,0,4,56,2026-06-04,False
FUTURES STOCK DIVIDEND,TEFD,0,0,0,0,0,50,2026-06-04,False
FUTURES STOCK,FDR,0,0,2,0,0,0,2026-06-04,False
FUTURES STOCK TOTAL,,8,88,3762081,22,35160,1644862,2026-06-04,True
FUTURES STOCK,IBE,0,0,25976,0,243,7381,2026-06-04,False
FUTURES STOCK,IAG,0,0,600,0,6,40,2026-06-04,False
FUTURES STOCK,MAP,0,0,579,0,5,434,2026-06-04,False
OPTIONS STOCK,AMS,14,3098,34163,775,319,21553,2026-06-04,False
FUTURES STOCK,BKT,0,0,812,0,8,116,2026-06-04,False
FUTURES STOCK,UNI,0,0,10,0,0,10,2026-06-04,False
FUTURES STOCK,CLNX,0,0,241,0,2,58,2026-06-04,False
FUTURES INDEX IBEX 35 DIVIDEND,,0,0,3375,0,32,3600,2026-06-04,False
OPTIONS INDEX IBEX 35,,146,773,146424,193,1368,70074,2026-06-04,False
FUTURES STOCK,SLR,0,0,393,0,4,1,2026-06-04,False
OPTIONS INDEX IBEX 35 TOTAL,,146,773,146424,193,1368,70074,2026-06-04,True
FUTURES STOCK,AENA,0,0,203,0,2,25,2026-06-04,False
FUTURES STOCK,BBVA,0,45,144161,11,1347,39176,2026-06-04,False
FUTURES STOCK,CIE,0,0,1,0,0,1,2026-06-04,False
FUTURES STOCK,FER,0,0,1963,0,18,375,2026-06-04,False
FUTURES STOCK,IDR,0,7,3126,2,29,341,2026-06-04,False
FUTURES STOCK,ACX,0,0,440,0,4,34,2026-06-04,False
OPTIONS STOCK,RED,100,254,8859,64,83,5740,2026-06-04,False
FUTURES STOCK,GRF,0,4,330,1,3,215,2026-06-04,False
FUTURES STOCK,AMS,2,5,1067,1,10,133,2026-06-04,False
FUTURES STOCK,ACX,0,0,440,0,4,34,2026-06-05,False
FUTURES STOCK,PUIG,0,0,312,0,3,230,2026-06-05,False
FUTURES STOCK,RED,0,0,194,0,2,64,2026-06-05,False
OPTIONS STOCK TOTAL,,77700,194183,6133417,38834,56792,6332765,2026-06-05,True
FUTURES STOCK,ROVI,0,0,129,0,1,2,2026-06-05,False
FUTURES STOCK DIVIDEND,GASD,0,0,500,0,5,500,2026-06-05,False
FUTURES STOCK,SAB,0,0,920,0,9,508,2026-06-05,False
FUTURES STOCK,FER,0,0,1963,0,18,375,2026-06-05,False
FUTURES STOCK,TEF,100,100,21485,20,199,20210,2026-06-05,False
OPTIONS STOCK,BKT,0,7,7363,1,68,6968,2026-06-05,False
FUTURES STOCK,SAN,151,152,3502015,30,32426,1536798,2026-06-05,False
FUTURES STOCK,NTGY,0,0,5140,0,48,5014,2026-06-05,False
FUTURES STOCK,SCYR,0,0,34,0,0,0,2026-06-05,False
FUTURES STOCK,MTS,4,4,1463,1,14,204,2026-06-05,False
FUTURES STOCK,ITX,5,11,10281,2,95,8659,2026-06-05,False
FUTURES STOCK DIVIDEND,IBED,0,0,0,0,0,100,2026-06-05,False
FUTURES INDEX IBEX 35 DIVIDEND,,25,25,3400,5,31,3625,2026-06-05,False
FUTURES STOCK DIVIDEND,SAND,0,0,66472,0,615,25425,2026-06-05,False
OPTIONS STOCK,A3M,150,150,566,30,5,404,2026-06-05,False
OPTIONS STOCK,ACS,2,21,6218,4,58,6766,2026-06-05,False
OPTIONS STOCK,ACX,30,120,7278,24,67,5419,2026-06-05,False
OPTIONS STOCK,AENA,9,355,5721,71,53,3207,2026-06-05,False
